年度	省份	学校	录取批次	文/理（选科要求）	专业	录取最低分	省内排名	本一线
2022	广东	北京工业大学	本科批	首选物理，再选不限	数学类（070101.数学与应用数学+070102.信息与计算科学）（第一学年通州校区，第二至四学年平乐园校区）	606	18092	437
2022	广东	北京工业大学	本科批	首选物理，再选不限	统计学（第一学年通州校区，第二至四学年平乐园校区）	604	19372	437
2022	广东	北京工业大学	本科批	首选物理，再选不限	国际经济与贸易（第一学年通州校区，第二至四学年平乐园校区）	603	20040	437
2022	广东		本科批	首选物理，再选不限	会计学（第一学年通州校区，第二至四学年平乐园校区）	603	20040	437
2022	广东	北京大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	北京大学	本科批	首选物理，再选不限	数学类（070101.数学与应用数学(数学)+070101.数学与应用数学(概率统计)+070101.数学与应用数学(科学与工程计算)+070101.数学与应用数学(信息科学)+070101.数学与应用数学(金融)）	696	13	437
2022	广东	北京大学	本科批	首选物理，再选不限	理科试验班类（0701.数学类+0702.物理学类+070401.天文学+0708.地球物理学类+0711.心理学类+0809.计算机类+0807.电子信息类）	689	41	437
2022	广东	北京大学	本科批	首选物理，再选不限	心理学类（071101.心理学）	687	53	437
2022	广东	北京大学	本科批	首选物理，再选不限	工商管理类（020301.金融学+020301.金融学(金融经济学)+120203.会计学+120202.市场营销）	686	63	437
2022	广东	北京大学	本科批	首选物理，再选不限	物理学类（070201.物理学+070601.大气科学(大气与海洋)）	686	63	437
2022	广东	北京大学	本科批	首选物理，再选不限	法学	685	73	437
2022	广东	北京大学	本科批	首选物理，再选不限	计算机类（080901.计算机科学与技术+080907.智能科学与技术）	685	73	437
2022	广东	北京大学	本科批	首选物理，再选不限	电子信息类（080714.电子信息科学与技术+080704.微电子科学与工程）	684	86	437
2022	广东	北京大学	本科批	首选物理，再选不限	经济学类（020101.经济学+020301.金融学+020401.国际经济与贸易+020303.保险学(风险管理与保险)+020201.财政学+020104.资源与环境经济学）	684	86	437
2022	广东	北京大学	本科批	首选物理，再选不限	地球物理学类（070801.地球物理学+070802.空间科学与技术+070802.空间科学与技术(遥感与地理信息系统)）	683	97	437
2022	广东	北京大学	录取批次	选科要求	专业名称	最低分	最低位次	437
